('Total Revenue', '270,010,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         811495 function calls (787257 primitive calls) in 3.785 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      739    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       51    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       27    0.000    0.000    0.001    0.000 enum.py:254(__set_name__)
      216    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
     1089    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.032    0.032 packages.py:1(<module>)
     1089    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      198    0.000    0.000    0.413    0.002 <frozen importlib._bootstrap_external>:1520(find_spec)
      339    0.000    0.000    1.982    0.006 ssl.py:1095(read)
      218    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
      425    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      260    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      739    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       42    0.000    0.000    1.007    0.024 response.py:1173(read_chunked)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      146    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      664    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      613    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      973    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      100    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
      238    0.000    0.000    0.178    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
      199    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      324    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      138    0.000    0.000    0.001    0.000 typing.py:1147(__init__)
       23    0.000    0.000    0.002    0.000 enum.py:528(__new__)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      346    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      414    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      322    0.000    0.000    0.001    0.000 css_parser.py:248(css_unescape)
        6    0.000    0.000    0.002    0.000 typing.py:2780(__new__)
      307    0.000    0.000    0.146    0.000 __init__.py:226(compile)
